Models,few shot shenzhencxr accuracy,few shot shenzhencxr accuracy uncertainty ,few shot montgomerycxr accuracy,few shot montgomerycxr accuracy uncertainty ,few shot bach accuracy,few shot bach accuracy uncertainty,few shot iChallengeAMD accuracy,few shot iChallengeAMD accuracy uncertainty,few shot iChallengePM accuracy,few shot iChallengePM accuracy uncertainty ,few shot chexpert accuracy,few shot chexpert accuracy uncertainty,few shot stoic accuracy,few shot stoic accuracy uncertainty,few shot diabetic retinopathy (5way) accuracy,few shot diabetic retinopathy (5way) accuracy uncertainty,few shot chestx (5way) accuracy,few shot chestx (5way) accuracy uncertainty,few shot cifar10 (2way) accuracy,few shot cifar10 (2way) accuracy uncertainty,few shot cifar10 (5way) accuracy,few shot cifar10 (5way) accuracy uncertainty,imagenet top1 accuracy,linear chexpert accuracy,linear diabetic retinopathy,finetune chexpert,finetune diabetic retinopathy,attentive diffusion shenzhencxr,attentive diffusion montgomerycxr,attentive diffusion diabetic retinopathy,attentive diffusion chestx,attentive diffusion bach,attentive diffusion iChallengeAMD,attentive diffusion iChallengePM,attentive diffusion chexpert,attentive diffusion imagenet,invariance rotation shenzhencxr,invariance rotation montgomerycxr,invariance rotation diabetic retinopathy,invariance rotation iChallengeAMD,invariance rotation iChallengePM,invariance hflip shenzhencxr,invariance hflip montgomerycxr,invariance hue diabetic retinopathy,invariance hue bach,invariance multiview chexpert,invariance multiview diabetic retinopathy,perceptual distance alexnet shenzhen-cxr,perceptual distance alexnet montgomery-cxr,perceptual distance alexnet diabetic retinopathy,perceptual distance alexnet chestx,perceptual distance alexnet bach,perceptual distance alexnet iChallenge-AMD,perceptual distance alexnet iChallenge-PM,perceptual distance alexnet chexpert,perceptual distance vgg shenzhen-cxr,perceptual distance vgg montgomery-cxr,perceptual distance vgg diabetic retinopathy,perceptual distance vgg chestx,perceptual distance vgg bach,perceptual distance vgg iChallenge-AMD,perceptual distance vgg iChallenge-PM,perceptual distance vgg chexpert,perceptual distance squeezenet shenzhencxr,perceptual distance squeezenet montgomerycxr,perceptual distance squeezenet diabetic retinopathy,perceptual distance squeezenet chestx,perceptual distance squeezenet bach,perceptual distance squeezenet iChallengeAMD,perceptual distance squeezenet iChallengePM,perceptual distance squeezenet chexpert
simclrv1,0.7446,0.0066,0.632,0.008,0.8061,0.0074,0.749,0.0062,0.9492,0.0032,0.5973,0.0072,0.5163,0.0073,0.3278,0.0042,0.2986,0.0046,0.917,0.0066,0.7778,0.0053,0.693,0.7501,0.3151,0.7582,0.3648,0.4734,0.5111,0.4451,0.3922,0.5488,0.4595,0.4731,0.3931,0.2599,0.017664,0.004651,0.158575,0.01122,0.056354,0.505835,0.50285,0.541876,0.063217,0.017221,0.273098,0.946187675,0.802799761,0.745040715,0.799518049,0.91774112,0.764035881,0.855134249,0.777164459,0.842198432,0.793268621,0.74214828,0.810087144,0.922319055,0.882987022,0.898486376,0.787738442,0.915412128,0.767044127,0.639199138,0.794846237,0.87299031,0.721244037,0.734124661,0.687583566
mocov2,0.7376,0.0066,0.6354,0.0074,0.8253,0.0071,0.7491,0.0064,0.9421,0.0033,0.5739,0.0075,0.5096,0.0072,0.3407,0.0043,0.2869,0.0044,0.9069,0.007,0.7647,0.0049,0.711,0.7494,0.3218,0.7996,0.4564,0.3962,0.4285,0.4358,0.4644,0.4263,0.4041,0.4519,0.4864,0.4085,0.046583,0.018896,0.266088,0.119155,0.151755,0.586536,0.546951,0.478438,0.319465,0.011999,0.311617,0.792377532,0.736100256,0.722344697,0.702365518,0.735178471,0.535871863,0.765247226,0.699778915,0.731054902,0.768106818,0.909593582,0.811419964,0.871818245,0.635525703,0.834284782,0.703983426,0.665810585,0.669938624,0.596546471,0.674199283,0.705696702,0.43368879,0.495453715,0.609988213
swav,0.7522,0.0065,0.6738,0.0071,0.8278,0.0065,0.7094,0.0066,0.9469,0.0031,0.5761,0.0077,0.5251,0.0076,0.3447,0.0043,0.2776,0.0044,0.9222,0.0062,0.7838,0.0053,0.753,0.7497,0.3761,0.7784,0.4447,0.4751,0.5378,0.4776,0.5256,0.4834,0.4243,0.4782,0.518,0.4866,,0.005419,0.2317,0.015137,0.059497,0.568734,0.50496,0.458312,0.076749,0.013594,0.324574,0.896340609,0.749159098,0.776075661,0.7736848,0.848525167,0.635183215,0.896286845,0.760910511,0.838818312,0.73126626,0.831205428,0.803889871,0.833367705,0.745373309,0.956076384,0.856454313,0.832367599,0.676701188,0.653582394,0.809033036,0.6535725,0.56058979,0.707107008,0.754178703
byol,0.7629,0.0065,0.7098,0.0067,0.8328,0.0066,0.7458,0.0061,0.9583,0.0028,0.5844,0.0074,0.5279,0.0072,0.3366,0.004,0.3028,0.0046,0.9192,0.0062,0.7843,0.0049,0.743,0.7461,0.3427,0.7897,0.4117,0.3944,0.4095,0.4669,0.413,0.4132,0.3587,0.4206,0.4961,0.3922,,0.005129,0.184539,0.01204,0.056851,0.551436,0.503594,0.49777,0.096607,0.014443,0.240883,0.961121202,0.761735916,0.65842396,0.759200931,0.803738177,0.72579664,0.723579228,0.770880818,0.790730774,0.77870512,0.731152296,0.781937599,0.822632134,0.738576829,0.821264982,0.763938785,0.844054818,0.654191494,0.505277753,0.74154377,0.614404261,0.576360107,0.575659514,0.71374017
pirl,0.7748,0.006,0.6358,0.0076,0.8102,0.0069,0.7526,0.006,0.9349,0.0035,0.5851,0.0076,0.5061,0.0072,0.3419,0.0041,0.2852,0.0044,0.887,0.0073,0.7073,0.0054,0.617,0.742,0.3151,0.783,0.4089,0.446,0.4874,0.4348,0.4851,0.4827,0.4454,0.4977,0.4858,0.468,0.045287,0.025912,0.353794,0.186696,0.220096,0.681695,0.573914,0.671418,0.498281,0.022607,0.471989,0.798071265,0.763198853,0.655789912,0.682139993,0.66494894,0.63405478,0.642070413,0.786989629,0.769236922,0.760749757,0.717255592,0.722821415,0.793736756,0.772710204,0.760927081,0.894932032,0.846868813,0.760949671,0.518644035,0.659339666,0.556223869,0.500440717,0.489466816,0.681172252
supervised r50,0.7086,0.0072,0.6231,0.0075,0.8049,0.0068,0.757,0.0064,0.948,0.0033,0.5614,0.0076,0.5132,0.0075,0.3132,0.0043,0.2771,0.0046,0.9468,0.0047,0.8384,0.0043,0.772,0.7347,0.3146,0.7943,0.4708,0.419,0.4362,0.3973,0.3411,0.4263,0.4299,0.4569,0.4691,0.4286,,,,0.00663,,,,,,0.006721,0.248796,0.841598511,0.890259147,0.470237315,0.76412034,0.374965906,0.459555447,0.501353264,0.802789927,0.882334054,0.892686963,0.556936085,0.773951113,0.587813973,0.512845039,0.571857989,0.807782769,0.887396157,0.891767442,0.336848795,0.81267947,0.263676047,0.318577051,0.384260178,0.782448053
supervised r18,0.7416,0.0066,0.6294,0.0069,0.8078,0.0071,0.7459,0.0062,0.9368,0.0035,0.5769,0.008,0.5254,0.0074,0.3296,0.0041,0.2858,0.004,0.9407,0.0055,0.8137,0.0049,0.7212,0.7143,0.3052,0.7931,0.4266,,,,,,,,,,,,0.287278,0.008016,0.05307,0.568127,0.500968,0.332137,0.069995,0.00898,0.297035,0.898840845,0.758853197,0.548289239,0.802360952,0.644982457,0.681015372,0.840078294,0.824420571,0.748356819,0.757470787,0.607606351,0.771721244,0.653757811,0.748232365,0.850685179,0.910237372,0.790851653,0.729449332,0.464635402,0.763785064,0.469262451,0.568670332,0.683258951,0.790625036
supervised d121,0.7343,0.0065,0.6531,0.0067,0.8121,0.007,0.7712,0.006,0.9486,0.003,0.5741,0.0078,0.5199,0.0073,0.3349,0.0042,0.2788,0.0044,0.9329,0.0055,0.8184,0.0045,0.7498,0.725,0.3396,0.7962,0.4018,,,,,,,,,,,,0.314225,0.007809,0.053091,0.582887,0.501167,0.309873,0.050872,0.014616,0.38868,0.506658196,0.453187138,0.334123522,0.341694892,0.487371624,0.222662374,0.191741556,0.227014586,0.571739256,0.562444806,0.460597456,0.451403737,0.571942926,0.345337719,0.316991836,0.193264723,0.533360302,0.39920333,0.218046352,0.321383655,0.274467558,0.14277193,0.140793413,0.401390553
mimic-chexpert lr=0.01,0.6908,0.0068,0.6915,0.0066,0.6686,0.0096,0.6272,0.0075,0.7884,0.0067,0.621,0.0073,0.517,0.007,0.2256,0.0038,0.3373,0.0045,0.6958,0.0089,0.4188,0.0052,,0.7597,0.2126,0.7868,,0.4398,0.3323,0.4068,0.2628,0.407,0.4275,0.4172,0.268,0.4531,-0.000174,0.000195,,,,-0.000673,0.000031,,,0.007754,,0.793962359,0.453183949,0.482274473,0.654821754,0.560726643,0.465638369,0.439308047,0.473188132,0.753120065,0.617623329,0.618080735,0.673720539,0.631889164,0.578685343,0.555047393,0.634009659,0.629419625,0.458275527,0.460662127,0.565910876,0.411834359,0.361980408,0.370501876,0.418244064
mimic-chexpert lr=0.1,0.7322,0.0064,0.6754,0.0063,0.6966,0.0104,0.6287,0.0074,0.8366,0.0054,0.6157,0.0078,0.5246,0.0074,0.2571,0.004,0.3479,0.005,0.7132,0.0089,0.4243,0.0054,,0.7728,0.2285,0.7880,,0.3145,0.325,0.3636,0.3315,0.4377,0.4042,0.4457,0.3373,0.3414,,,,,,,,,,,,0.764075518,0.632035136,0.711073756,0.685753524,0.764572918,0.624549449,0.809001923,0.721007109,0.813468278,0.740291536,0.843385577,0.730482221,0.997727037,0.679778457,0.893629909,0.85911727,0.728191495,0.640693426,0.610941589,0.600616336,0.760280728,0.495135039,0.720670998,0.757312298
mimic-chexpert lr=1.0,0.6862,0.0072,0.6713,0.0065,0.716,0.0098,0.6505,0.0072,0.769,0.0058,0.6245,0.0075,0.5239,0.0073,0.2223,0.0037,0.3482,0.0048,0.6951,0.009,0.4173,0.0054,,0.7566,0.2099,0.7787,,,,,,,,,,,,,,,,,,,,,,0.793917954,0.701454282,0.663100123,0.809568763,0.788493753,0.737123787,0.83817929,0.638052166,0.820794523,0.84648186,0.666146636,0.905100346,0.991434336,0.793107748,0.893992066,0.71878922,0.650643587,0.626417756,0.61824584,0.746245563,0.802505255,0.629339635,0.708998621,0.580319166
mimic-cxr r18,0.7389,0.0064,0.5725,0.0069,0.6696,0.0088,0.6008,0.0075,0.7906,0.0061,0.5806,0.0074,0.5379,0.0076,0.2427,0.0038,0.2615,0.0041,0.714,0.0098,0.4359,0.0055,,0.7427,0.2091,0.7498,,0.4398,0.2817,0.4654,0.3585,0.3758,0.4974,0.5521,0.2666,0.4215,,,,,,,,,,,,0.789039016,0.631981015,0.675957859,0.71582967,0.72438395,0.678989172,0.706056476,0.748586953,0.785121441,0.67166394,0.869570673,0.751373589,0.808124781,0.730781555,0.788576245,0.824155748,0.878972828,0.595088005,0.634996057,0.723914206,0.651508212,0.624980331,0.60797286,0.779640079
