model,shenzhen-cxr,montgomery-cxr,diabetic_retinopathy,chestx,bach,iChallenge-AMD,iChallenge-PM,chexpert
moco-v2,0.665810585,0.6699386239,0.5965464711,0.6741992831,0.705696702,0.4336887896,0.4954537153,0.6099882126
swav,0.832367599,0.6767011881,0.6535823941,0.8090330362,0.6535724998,0.5605897903,0.7071070075,0.7541787028
byol,0.8440548182,0.654191494,0.5052777529,0.7415437698,0.6144042611,0.5763601065,0.5756595135,0.71374017
pirl,0.846868813,0.7609496713,0.5186440349,0.6593396664,0.5562238693,0.5004407167,0.4894668162,0.6811722517
supervised_r50,0.8873961568,0.8917674422,0.3368487954,0.8126794696,0.2636760473,0.3185770512,0.3842601776,0.7824480534
supervised_r18,0.7908516526,0.7294493318,0.464635402,0.7637850642,0.4692624509,0.5686703324,0.6832589507,0.7906250358
supervised_d121,0.5333603024,0.3992033303,0.2180463523,0.3213836551,0.2744675577,0.1427719295,0.1407934129,0.4013905525
mimic-chexpert_lr_0.01,0.6294196248,0.4582755268,0.4606621265,0.5659108758,0.4118343592,0.3619804084,0.3705018759,0.4182440639
mimic-chexpert_lr_0.1,0.7281914949,0.6406934261,0.6109415889,0.6006163359,0.7602807283,0.4951350391,0.7206709981,0.7573122978
mimic-chexpert_lr_1.0,0.6506435871,0.6264177561,0.6182458401,0.746245563,0.8025052547,0.6293396354,0.7089986205,0.5803191662
moco-cxr_r18,0.8789728284,0.5950880051,0.6349960566,0.723914206,0.6515082121,0.6249803305,0.6079728603,0.7796400785
moco-cxr_d121,0.6619298458,0.5853472352,0.3898516893,0.4941303432,0.3571919203,0.258516103,0.3653851151,0.3977022171
